Bug 1,Bug 2,Ch 11,Ch 21,Ch 31,Ch 41,Ch 51,Ch 61,Ch 71,Ch 81,Ch 91,Ch 101,Ch 111,Ch 121,Ch 12,Ch 22,Ch 32,Ch 42,Ch 52,Ch 62,Ch 72,Ch 82,Ch 92,Ch 102,Ch 112,Ch 122,cosine_similarity,class
35328,24326,1.11,8.0,7.9,6.45,4.72,11.89,11.23,3.87,2.25,4.77,8.28,5.99,1.94,6.73,4.71,5.11,5.22,9.87,8.32,1.94,4.62,4.91,7.19,4.57,0.979,dup
35280,34303,0.8,5.6,3.05,5.01,3.4,8.23,6.23,1.76,2.39,3.51,3.61,1.86,0.0,4.49,1.16,1.99,0.32,6.47,4.23,0.0,2.01,2.77,1.55,2.5,0.941,dup
35234,35233,1.87,7.08,4.9,3.15,5.52,9.07,5.89,1.09,0.46,2.36,4.53,2.77,1.87,7.08,4.9,3.15,5.52,9.07,5.89,1.09,0.46,2.36,4.53,2.77,1.0,dup
35107,34858,2.77,11.41,11.37,8.9,8.12,14.02,8.9,2.88,2.93,6.43,7.32,3.33,0.0,6.72,3.29,0.8,2.88,5.86,2.85,0.8,1.12,0.8,3.99,0.0,0.914,dup
35099,34696,0.0,3.94,4.46,2.35,2.55,10.77,4.14,0.44,0.0,2.96,4.23,2.26,1.2,9.44,7.85,6.68,6.39,13.76,9.56,3.04,3.58,6.61,8.74,3.01,0.945,dup
35099,34630,0.0,3.94,4.46,2.35,2.55,10.77,4.14,0.44,0.0,2.96,4.23,2.26,1.69,10.21,6.01,6.95,6.27,14.15,12.99,1.68,3.04,8.62,11.39,4.29,0.925,dup
35040,34989,0.0,2.42,0.99,0.99,0.99,3.67,2.42,0.0,0.0,0.0,0.0,0.0,0.0,5.55,2.17,2.8,1.5,2.92,5.17,0.91,0.59,0.51,2.0,0.0,0.874,dup
35040,28300,0.0,2.42,0.99,0.99,0.99,3.67,2.42,0.0,0.0,0.0,0.0,0.0,0.56,3.93,4.31,2.62,2.62,6.64,3.37,1.82,1.08,3.61,1.82,1.82,0.859,dup
35040,21000,0.0,2.42,0.99,0.99,0.99,3.67,2.42,0.0,0.0,0.0,0.0,0.0,0.83,5.9,5.0,4.6,5.15,9.8,6.45,2.44,2.84,3.23,4.63,2.01,0.882,dup
35040,8375,0.0,2.42,0.99,0.99,0.99,3.67,2.42,0.0,0.0,0.0,0.0,0.0,2.77,5.99,9.29,6.79,6.32,9.81,5.99,4.24,4.24,4.24,4.24,3.29,0.792,dup
34999,33964,1.55,4.66,5.03,2.66,3.44,4.78,3.65,0.0,1.16,3.33,2.0,2.24,4.51,12.97,8.8,7.63,6.47,13.76,10.66,4.93,3.38,5.45,8.28,4.72,0.956,dup
34999,33789,1.55,4.66,5.03,2.66,3.44,4.78,3.65,0.0,1.16,3.33,2.0,2.24,0.06,3.76,2.94,2.46,1.58,4.06,3.82,1.23,2.43,1.93,3.16,1.83,0.931,dup
34989,28300,0.0,5.55,2.17,2.8,1.5,2.92,5.17,0.91,0.59,0.51,2.0,0.0,0.56,3.93,4.31,2.62,2.62,6.64,3.37,1.82,1.08,3.61,1.82,1.82,0.829,dup
34989,21000,0.0,5.55,2.17,2.8,1.5,2.92,5.17,0.91,0.59,0.51,2.0,0.0,0.83,5.9,5.0,4.6,5.15,9.8,6.45,2.44,2.84,3.23,4.63,2.01,0.882,dup
