Bug 1,Bug 2,bmfu,bmfb,prod,comp,type,prior,vers,Ch 11,Ch 21,Ch 31,Ch 41,Ch 51,Ch 61,Ch 71,Ch 81,Ch 91,Ch 101,Ch 111,Ch 121,Ch 12,Ch 22,Ch 32,Ch 42,Ch 52,Ch 62,Ch 72,Ch 82,Ch 92,Ch 102,Ch 112,Ch 122,cosine_similarity,class
17376,17375,0.49,0.0,0.0,0.0,1.0,1.0,0.3,0.0,2.51,1.31,1.31,1.31,2.96,1.02,1.31,1.31,1.82,2.33,0.0,1.26,7.54,4.79,3.46,3.92,10.78,6.27,2.34,2.49,5.33,6.59,2.03,0.964,non
16644,16643,0.45,0.0,0.0,0.0,1.0,1.0,0.0,1.05,5.91,3.42,3.35,3.41,4.58,4.88,1.95,2.19,4.03,3.51,2.71,0.47,7.11,5.46,3.25,2.28,10.49,4.92,1.73,2.42,3.5,5.97,2.29,0.933,non
16174,16173,1.86,0.0,0.0,0.0,1.0,1.0,0.3,0.9,5.37,3.64,1.41,1.76,5.4,2.67,0.19,0.33,1.98,4.2,1.38,0.9,9.16,6.01,6.82,2.1,7.38,6.84,1.73,1.97,5.7,4.88,3.82,0.932,non
8106,8105,0.93,0.0,0.0,0.0,1.0,1.0,0.0,0.99,6.41,5.62,3.4,4.49,9.04,6.18,1.93,3.84,5.02,7.0,3.17,0.0,4.08,0.63,3.52,2.44,4.36,3.23,0.63,2.77,3.5,0.63,0.63,0.88,non
22549,22548,1.43,1.32,0.0,0.0,1.0,1.0,0.0,2.51,4.08,1.64,2.73,3.48,5.53,4.93,0.85,2.65,6.36,2.24,1.64,0.0,11.8,7.72,5.06,4.86,19.0,10.29,2.93,2.15,10.18,9.89,0.53,0.901,non
2965,2964,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.07,4.25,3.75,3.94,2.33,4.52,4.26,1.25,1.77,2.62,4.0,1.95,0.0,3.25,1.77,2.86,2.86,5.67,5.21,0.75,0.75,1.77,2.81,0.75,0.94,non
8210,8209,0.82,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.82,0.82,1.66,0.82,2.07,2.07,0.82,0.82,0.82,0.82,0.82,0.36,4.14,2.23,2.36,4.09,4.74,1.77,0.24,2.03,1.06,2.82,0.24,0.836,non
29218,29217,0.19,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.87,0.93,0.93,2.22,4.57,2.37,0.0,0.68,0.68,1.44,0.0,1.15,2.09,0.94,2.09,0.0,4.46,2.04,0.0,0.0,5.51,1.1,0.0,0.724,non
29440,29439,0.82,1.12,0.0,0.0,0.0,1.0,0.0,1.56,7.01,6.47,4.0,6.26,9.7,4.79,3.21,1.83,5.49,5.07,1.84,1.52,7.95,2.48,4.92,0.86,8.81,7.01,0.0,3.83,3.07,3.83,3.76,0.878,non
32210,32209,0.0,0.0,0.0,0.0,1.0,1.0,0.3,0.0,0.32,0.32,0.32,0.32,0.94,0.32,0.32,0.0,0.94,0.32,0.32,0.82,3.66,4.35,0.82,2.95,7.64,1.69,0.82,0.0,0.82,2.95,1.69,0.807,non
29306,29305,1.27,0.0,0.0,0.0,1.0,1.0,0.0,2.51,11.71,6.51,4.45,3.46,10.9,7.81,4.67,3.79,6.5,9.36,4.04,0.28,2.9,1.87,0.57,0.57,3.41,2.68,0.67,3.04,1.58,3.58,1.58,0.943,non
1894,1893,0.84,0.0,0.0,0.0,0.0,1.0,0.0,0.39,8.6,4.0,4.6,4.1,9.14,6.95,1.09,1.55,2.93,5.25,3.5,0.6,2.62,1.57,2.62,1.57,5.87,2.62,2.02,0.6,2.25,4.16,0.85,0.93,non
8908,8907,0.66,0.0,0.0,0.0,1.0,1.0,0.38,0.0,1.7,1.86,0.0,0.0,1.7,1.7,0.0,0.5,0.5,0.5,1.2,1.15,6.3,5.34,3.0,3.44,8.59,6.47,2.04,3.47,4.3,6.38,2.75,0.88,non
22764,22763,2.3,0.0,0.0,0.0,1.0,1.0,0.2,0.99,5.76,6.36,2.74,3.84,8.39,6.52,1.93,3.19,4.37,6.34,2.52,1.03,8.55,6.27,4.52,4.21,11.13,4.19,2.59,1.62,2.87,3.75,1.96,0.943,non
19111,19110,0.63,0.0,0.0,0.0,0.0,1.0,0.0,1.56,5.48,3.35,4.13,1.19,6.17,4.27,2.16,1.35,1.94,3.43,1.04,1.04,10.74,4.79,3.86,5.65,10.96,6.94,2.78,2.35,1.04,4.7,1.04,0.955,non
24742,24741,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.1,6.29,6.29,5.23,3.74,7.21,6.29,4.8,3.73,6.14,6.29,2.67,0.0,6.28,7.28,1.8,2.84,10.24,4.79,0.79,0.0,2.45,2.51,1.04,0.857,non
3313,3312,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.78,2.81,2.81,2.81,2.81,5.05,4.56,1.07,2.53,1.85,0.78,1.85,1.65,3.96,1.96,1.96,3.24,5.63,4.3,1.1,1.71,2.03,1.96,1.96,0.969,non
14105,14104,0.9,0.0,0.0,0.0,1.0,1.0,0.31,0.0,6.85,3.85,1.56,3.29,5.73,5.87,1.19,1.94,3.29,3.81,1.37,1.67,10.05,6.59,4.93,7.94,12.87,11.43,3.5,2.14,4.18,4.79,1.26,0.969,non
15262,15261,1.34,0.25,0.0,0.0,1.0,1.0,0.0,0.9,8.41,3.3,3.72,2.06,6.26,4.92,2.27,1.73,3.34,3.81,1.59,0.0,9.35,5.6,3.97,3.03,6.82,7.34,2.56,2.22,4.59,6.79,2.08,0.981,non
22282,22281,0.21,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.24,1.37,1.27,1.27,7.54,3.24,0.68,2.45,1.69,1.27,0.68,1.34,6.67,4.26,3.53,2.56,5.23,7.23,0.69,2.56,2.56,4.26,1.22,0.848,non
36417,36416,12.78,15.38,0.0,0.0,1.0,1.0,0.0,0.46,4.81,3.31,3.25,2.54,7.76,3.65,1.26,2.01,3.23,5.81,1.41,1.28,7.04,4.63,3.78,3.2,8.71,5.87,1.91,3.42,4.0,5.78,2.07,0.986,non
18114,18113,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.95,1.0,0.0,0.52,2.37,2.37,0.52,0.0,1.21,0.52,0.52,1.14,4.89,3.9,3.56,2.34,7.43,3.72,1.84,2.58,3.37,2.58,1.2,0.87,non
18145,18144,0.54,0.0,0.0,0.0,0.0,1.0,0.31,0.0,3.57,2.31,2.97,0.6,7.32,2.31,0.6,1.71,2.31,2.31,2.31,1.39,10.8,7.31,5.25,6.15,15.39,8.46,3.5,3.16,4.46,8.34,3.39,0.948,non
